Package name;Clone url
ansible;https://github.com/ansible/ansible.git
apache-airflow;https://github.com/apache/airflow.git
asteval;https://github.com/newville/asteval.git
autobahn;https://github.com/crossbario/autobahn-python.git
bleach;https://github.com/mozilla/bleach.git
celery;https://github.com/celery/celery.git
django-celery-results;https://github.com/celery/django-celery-results.git
django-registration-redux;https://github.com/macropin/django-registration.git
ecdsa;https://github.com/tlsfuzzer/python-ecdsa.git
fastapi;https://github.com/tiangolo/fastapi.git
flask;https://github.com/pallets/flask.git
flask-appbuilder;https://github.com/dpgaspar/flask-appbuilder.git
flask-cors;https://github.com/corydolphin/flask-cors.git
gdal;https://github.com/osgeo/gdal.git
graphite-web;https://github.com/graphite-project/graphite-web.git
ipaddress;https://github.com/phihag/ipaddress.git
jinja2;https://github.com/pallets/jinja.git
knack;https://github.com/microsoft/knack.git
markdown2;https://github.com/trentm/python-markdown2.git
mitmproxy;https://github.com/mitmproxy/mitmproxy.git
nltk;https://github.com/nltk/nltk.git
notebook;https://github.com/jupyter/notebook.git
numba;https://github.com/numba/numba.git
oauth2;https://github.com/joestump/python-oauth2.git
pillow;https://github.com/python-pillow/pillow.git
pwntools;https://github.com/gallopsled/pwntools.git
pyarrow;https://github.com/apache/arrow.git
pylint;https://github.com/pycqa/pylint.git
pyramid;https://github.com/pylons/pyramid.git
pytorch-lightning;https://github.com/pytorchlightning/pytorch-lightning.git
rasa;https://github.com/rasahq/rasa.git
rope;https://github.com/python-rope/rope.git
rtslib-fb;https://github.com/open-iscsi/rtslib-fb.git
salt;https://github.com/saltstack/salt.git
starlette;https://github.com/encode/starlette.git
tornado;https://github.com/tornadoweb/tornado.git
twisted;https://github.com/twisted/twisted.git
urllib3;https://github.com/urllib3/urllib3.git
werkzeug;https://github.com/pallets/werkzeug.git
