Package name;Clone dir;Tot vulns with commit;# Severity L;# Severity M;# Severity H;Median severity;# Major v.;# Minor v.;# Patch v.;Median release type;Avg time interval
aiohttp;aiohttp;1;0;1;0;M;0;0;1;patch;0
aiohttp-session;aiohttp_session;2;0;2;0;M;0;2;0;minor;0
aioxmpp;aioxmpp;1;0;0;1;H;0;1;0;minor;455
ansible;ansible;8;0;2;6;H;0;5;3;minor;124
ansible-runner;ansible-runner;1;1;0;0;L;0;0;1;patch;1
apache-airflow;airflow;1;0;1;0;M;0;1;0;minor;257
asyncpg;asyncpg;1;1;0;0;L;0;1;0;minor;0
autobahn;autobahn-python;1;1;0;0;L;0;0;1;patch;14
awscli;aws-cli;1;0;1;0;M;0;0;1;patch;0
beaker;beaker;1;0;1;0;M;0;0;1;patch;6
bleach;bleach;2;0;2;0;M;0;0;2;patch;0
boto3;boto3;1;1;0;0;L;0;0;1;patch;124
bson;bson;1;0;1;0;M;0;0;1;patch;128
cairosvg;cairosvg;1;0;0;1;H;0;0;1;patch;0
certifi;python-certifi;1;0;1;0;M;0;0;1;patch;0
channels;channels;1;0;1;0;M;0;0;1;patch;6
cherrypy;cherrypy;1;0;0;1;H;0;1;0;minor;83
codecov;codecov-python;2;0;2;0;M;0;0;2;patch;2
colander;colander;1;0;1;0;M;0;1;0;minor;0
cryptography;cryptography;2;0;1;1;M;0;0;2;patch;53
django;django;14;3;9;2;M;0;0;14;patch;128
django-anymail;django-anymail;2;0;0;2;H;0;0;2;patch;233
django-cacheops;django-cacheops;1;1;0;0;L;0;0;1;patch;15
django-hashid-field;django-hashid-field;1;0;1;0;M;0;0;1;patch;0
django-haystack;django-haystack;1;0;1;0;M;0;1;0;minor;769
django-js-reverse;django-js-reverse;1;0;0;1;H;0;0;1;patch;0
djangorestframework;django-rest-framework;1;0;1;0;M;0;0;1;patch;0
django-revproxy;django-revproxy;1;0;1;0;M;0;0;1;patch;77
django-select2;django-select2;1;0;1;0;M;0;1;0;minor;0
django-storages;django-storages;1;0;1;0;M;0;0;1;patch;4
django-tastypie;django-tastypie;1;0;0;1;H;0;0;1;patch;41
django-two-factor-auth;django-two-factor-auth;1;0;1;0;M;0;0;1;patch;0
django-user-sessions;django-user-sessions;1;0;1;0;M;0;0;1;patch;0
djoser;djoser;2;0;1;1;M;0;0;2;patch;8
elastic-apm;apm-agent-python;1;0;0;1;H;0;1;0;minor;0
facebook-sdk;facebook-sdk;1;0;0;1;H;0;0;1;patch;11
flask;flask;1;1;0;0;L;0;0;1;patch;8
flask-admin;flask-admin;3;0;3;0;M;0;1;2;patch;176
flower;flower;1;0;1;0;M;0;0;1;patch;159
gdal;gdal;1;0;0;1;H;0;1;0;minor;275
graphite-web;graphite-web;1;0;1;0;M;0;0;1;patch;0
gunicorn;gunicorn;1;0;1;0;M;0;0;1;patch;3
homeassistant;core;1;0;1;0;M;0;0;1;patch;0
httpie;httpie;1;0;0;1;H;0;0;1;patch;62
httplib2;httplib2;1;0;0;1;H;0;1;0;minor;0
imageio;imageio;1;0;1;0;M;0;1;0;minor;0
ipython;ipython;1;0;1;0;M;0;0;1;patch;6
jinja2;jinja;3;0;2;1;M;0;0;3;patch;0
jwcrypto;jwcrypto;1;0;1;0;M;0;1;0;minor;88
luigi;luigi;2;0;2;0;M;0;1;1;minor;0
lxml;lxml;1;0;1;0;M;0;0;1;patch;0
markdown2;python-markdown2;1;0;1;0;M;0;0;1;patch;0
marshmallow;marshmallow;1;0;1;0;M;0;0;1;patch;1
mistune;mistune;1;0;1;0;M;0;0;1;patch;0
mitmproxy;mitmproxy;1;0;0;1;H;1;0;0;major;333
nltk;nltk;1;0;1;0;M;0;0;1;patch;0
notebook;notebook;4;0;4;0;M;3;0;1;major;155
numpy;numpy;2;0;1;1;M;0;1;1;minor;107
oic;pyoidc;1;0;1;0;M;0;1;0;minor;73
paramiko;paramiko;2;0;0;2;H;0;0;2;patch;0
pdoc3;pdoc;1;0;0;1;H;0;1;0;minor;0
peewee;peewee;1;1;0;0;L;0;1;0;minor;0
pillow;Pillow;8;0;3;5;H;0;3;5;patch;0
pip;pip;1;0;0;1;H;0;0;1;patch;43
platformio;platformio-core;1;0;0;1;H;0;1;0;minor;13
pykmip;PyKMIP;1;0;0;1;H;0;1;0;minor;23
pypiserver;pypiserver;1;0;1;0;M;0;0;1;patch;2
pyramid;pyramid;2;0;1;1;M;0;0;2;patch;182
pysaml2;pysaml2;2;0;2;0;M;1;1;0;major;4
pyspark;spark;1;0;1;0;M;0;0;1;patch;3
python-keystoneclient;python-keystoneclient;2;0;2;0;M;0;0;2;patch;4
pyyaml;pyyaml;2;0;0;2;H;0;0;2;patch;325
recurly;recurly-client-python;1;0;0;1;H;0;0;1;patch;0
requests;requests;5;0;4;1;M;0;5;0;minor;44
requests-kerberos;requests-kerberos;1;0;1;0;M;0;0;1;patch;10
rply;rply;1;0;1;0;M;0;0;1;patch;0
rsa;python-rsa;3;0;2;1;M;0;0;3;patch;45
salt;salt;2;0;1;1;M;0;0;2;patch;4
scapy;scapy;2;0;1;1;M;0;0;2;patch;243
sceptre;sceptre;1;0;1;0;M;0;1;0;minor;115
scrapy;scrapy;1;0;0;1;H;0;1;0;minor;85
splunk-sdk;splunk-sdk-python;1;0;0;1;H;0;0;1;patch;283
svglib;svglib;1;0;1;0;M;0;0;1;patch;0
tensorflow;tensorflow;23;2;9;12;H;1;19;3;minor;73
thrift;thrift;2;0;0;2;H;0;2;0;minor;254
tqdm;tqdm;1;0;0;1;H;0;0;1;patch;1
twilio;twilio-python;1;0;1;0;M;0;1;0;minor;1
twine;twine;1;0;1;0;M;0;1;0;minor;149
twisted;twisted;3;1;1;1;L;0;2;1;minor;75
ua-parser;uap-python;1;0;1;0;M;0;0;1;patch;51
urllib3;urllib3;3;1;0;2;H;0;0;3;patch;27
wagtail;wagtail;1;0;1;0;M;0;0;1;patch;36
waitress;waitress;8;1;2;5;H;1;5;2;minor;24
webargs;webargs;1;0;0;1;H;0;0;1;patch;0
webob;webob;1;0;1;0;M;0;1;0;minor;72
websocket-client;websocket-client;1;0;1;0;M;0;1;0;minor;36
websockets;websockets;1;0;0;1;H;0;0;1;patch;4
werkzeug;werkzeug;4;1;2;1;M;0;0;4;patch;50
